299,40.86053,-73.92554,1514189.0,Dyckman St,1
449,40.75173,-73.85533,2078552.0,111 St,7
298,40.86462,-73.91882,1381421.0,207 St,1
437,40.82042,-73.93625,602131.0,145 St,3
56,40.576313,-73.9685,751550.0,Ocean Pkwy,Q
89,40.679947,-73.884636,442621.0,Cleveland St,J
303,40.83404,-73.94489,2288327.0,157 St,1
155,40.800602,-73.95816,1687762.0,Cathedral Pkwy 110 St, C B
453,40.747658,-73.8837,2716673.0,82 St-Jackson Hts,7
440,40.802097,-73.94962,2029638.0,116 St,2 3
434,40.81611,-73.917755,3353126.0,3 Av-149 St,2 5
151,40.824783,-73.944214,4768624.0,145 St,A C B D
180,40.67992,-73.94086,1450290.0,Kingston-Throop Avs,C
220,40.830135,-73.93821,587243.0,155 St,B D
119,40.730953,-73.98163,5750169.0,1 Av,L
445,40.858986,-73.85536,571395.0,Pelham Pkwy,5
133,40.675346,-73.9031,363641.0,Atlantic Av,L
35,40.64136,-74.01788,2836109.0,59 St,N R
428,40.837288,-73.88773,1123353.0,174 St,2 5
51,40.60867,-73.95773,4330573.0,Kings Hwy,B Q
22,40.70722,-74.01334,1129750.0,Rector St,R W
160,40.775593,-73.97641,2320906.0,72 St,C B
3,40.76678,-73.92148,3009491.0,30 Av,N W
85,40.691322,-73.86714,404490.0,75 St-Elderts Ln,J Z
88,40.68141,-73.880035,465524.0,Norwood Av,J Z
186,40.67271,-73.89036,531178.0,Van Siclen Av,C
53,40.595245,-73.95516,967936.0,Neck Rd,Q
55,40.57762,-73.96137,2665285.0,Brighton Beach,B Q
358,40.63997,-73.94841,1446997.0,Newkirk Av-Little Haiti,2 5
436,40.82388,-73.93647,706021.0,Harlem-148 St,3
306,40.815582,-73.958374,2003146.0,125 St,1
123,40.711926,-73.94067,1515759.0,Grand St,L
442,40.8883,-73.83083,774170.0,Eastchester-Dyre Av,5
62,40.631435,-73.995476,412492.0,55 St,D
431,40.82218,-73.896736,579699.0,Intervale Av,2 5
355,40.65665,-73.9502,1635212.0,Winthrop St,2 5
349,40.663513,-73.90245,496691.0,Junius St,3
221,40.754204,-73.94283,1590848.0,21 St-Queensbridge,F
622,40.71324,-74.0034,5916612.0,Brooklyn Bridge-City Hall,4 5 6
301,40.849506,-73.93359,2414013.0,181 St,1
190,40.67937,-73.85899,913679.0,80 St,A
5,40.756805,-73.92957,1467655.0,36 Av,N W
215,40.85041,-73.90523,1201110.0,Tremont Av,B D
439,40.807755,-73.945496,2694595.0,125 St,2 3
218,40.83377,-73.91844,1414572.0,167 St,B D
211,40.873245,-73.88714,1217650.0,Bedford Park Blvd,B D
213,40.861298,-73.89775,1862608.0,Fordham Rd,B D
217,40.839306,-73.9134,1001411.0,170 St,B D
76,40.611816,-73.98185,1602722.0,Bay Pkwy,N
212,40.866978,-73.89351,1141044.0,Kingsbridge Rd,B D
240,40.66627,-73.98031,2699374.0,7 Av,F G
245,40.629753,-73.976974,724602.0,18 Av,F
250,40.603218,-73.97236,727282.0,Kings Hwy,F
244,40.63612,-73.97817,844447.0,Ditmas Av,F
66,40.607952,-74.00174,1335967.0,18 Av,D
277,40.762863,-73.981636,3909412.0,7 Av,E B D
210,40.87481,-73.87885,1210541.0,Norwood-205 St,D
248,40.61514,-73.9742,604358.0,Avenue N,F
407,40.730053,-73.99107,3713104.0,Astor Pl,6
252,40.58962,-73.97425,514381.0,Avenue X,F
405,40.739864,-73.9866,5412509.0,23 St,6
262,40.726524,-73.85272,1676106.0,67 Av,M R
214,40.856094,-73.90074,819347.0,182-183 Sts,B D
251,40.59606,-73.97336,392625.0,Avenue U,F
222,40.759144,-73.95326,1690306.0,Roosevelt Island,F
255,40.71047,-73.7936,1641555.0,169 St,F
409,40.7223,-73.99714,2952185.0,Spring St,6
476,40.77789,-73.95179,5444074.0,86 St,Q
385,40.84848,-73.9118,1039330.0,176 St,4
372,40.816105,-73.89644,690398.0,Longwood Av,6
246,40.62532,-73.97613,383992.0,Avenue I,F
32,40.655144,-74.00355,3478796.0,36 St,D N R
204,40.590927,-73.79692,483045.0,Beach 67 St,A
34,40.64507,-74.01403,2004086.0,53 St,R
333,40.70682,-74.0091,3776805.0,Wall St,2 3
216,40.8459,-73.91013,777095.0,174-175 Sts,B D
336,40.690544,-73.98506,1704888.0,Hoyt St,2 3
165,40.745907,-73.99804,4370835.0,23 St,C E
386,40.844433,-73.91469,987486.0,Mt Eden Av,4
247,40.62077,-73.975266,282177.0,Bay Pkwy,F
384,40.853455,-73.907684,1896084.0,Burnside Av,4
114,40.697857,-73.9274,819533.0,Central Av,M
325,40.722855,-74.00628,1146685.0,Canal St,1
294,40.884666,-73.90087,971583.0,238 St,1
373,40.81212,-73.9041,967221.0,E 149 St,6
292,40.68712,-73.97537,1545754.0,Fulton St,G
208,40.600067,-73.76135,324339.0,Beach 25 St,A
28,40.677315,-73.98311,1648848.0,Union St,R
377,40.810474,-73.92614,1753790.0,3 Av-138 St,6
173,40.699337,-73.99053,2244635.0,High St,A C
378,40.886036,-73.87875,1336162.0,Woodlawn,4
253,40.581013,-73.97457,324506.0,Neptune Av,F
313,40.778454,-73.98197,9081892.0,72 St,1 2 3
607,40.749718,-73.98782,23646760.0,34 St-Herald Sq,B D F M N Q R W
TRAM1,40.761337,-73.96416,1551676.0,RI Tramway, TRAM1
6,40.75288,-73.932755,815912.0,39 Av-Dutch Kills,N W
312,40.783936,-73.97992,3511469.0,79 St,1
369,40.828583,-73.87916,1207269.0,Elder Av,6
276,40.760166,-73.97523,4720084.0,5 Av/53 St,E M
601,40.738228,-73.99621,11430059.0,14 St,F M 1 2 3
368,40.82952,-73.87452,1213141.0,Morrison Av-Soundview,6
366,40.833225,-73.86082,3337200.0,Parkchester,6
624,40.71411,-74.00858,12320498.0,Chambers St,A C
91,40.67699,-73.89865,389363.0,Alabama Av,J
623,40.718094,-73.99989,1476.0,Canal St,J N Q R W Z 6
623,40.71953,-73.99989,10418984.0,Canal St,J N Q R W Z 6
270,40.756313,-73.91333,1668202.0,46 St,M R
319,40.747215,-73.99336,3016673.0,28 St,1
69,40.597706,-73.98683,966982.0,25 Av,D
403,40.746082,-73.98208,5649585.0,33 St,6
608,40.670273,-73.98978,16153.0,4 Av,F G
608,40.67085,-73.988304,2846104.0,4 Av,F G
96,40.69334,-73.92882,1211895.0,Kosciuszko St,J
611,40.75731,-73.986755,43011832.0,Times Sq-42 St,N Q R W S 1 2 3 7
310,40.79392,-73.97232,7904064.0,96 St,1 2 3
99,40.70387,-73.94741,897373.0,Lorimer St,M J
603,40.818375,-73.92735,2110630.0,149 St-Grand Concourse,2 4 5
605,40.840557,-73.94013,5618.0,168 St,A C 1
605,40.840717,-73.93956,5217418.0,168 St,A C 1
365,40.834255,-73.85122,1063141.0,Castle Hill Av,6
610,40.751778,-73.976845,30796102.0,Grand Central-42 St,S 4 5 6 7
90,40.678024,-73.891685,515008.0,Van Siclen Av,J Z
371,40.82095,-73.89055,2138164.0,Hunts Point Av,6
318,40.750374,-73.99106,15418725.0,34 St-Penn Station,1 2 3
271,40.756878,-73.92074,2731458.0,Steinway St,M R
70,40.58884,-73.983765,581310.0,Bay 50 St,D
64,40.61959,-73.99886,1070478.0,71 St,D
61,40.63626,-73.99479,744787.0,50 St,D
307,40.80772,-73.96411,3410018.0,116 St-Columbia University,1
625,40.718613,-73.987434,7039690.0,Delancey St,F
308,40.803967,-73.96685,2898380.0,Cathedral Pkwy 110 St, C B
471,40.755882,-74.00191,5528199.0,34 St-Hudson Yards,7
364,40.836487,-73.84704,504740.0,Zerega Av,6
278,40.70215,-73.80111,5940341.0,Jamaica Center-Parsons/Archer,E J Z
604,40.827995,-73.92565,5340096.0,161 St-Yankee Stadium,B D 4
604,40.827995,-73.925835,2912.0,161 St-Yankee Stadium,B D 4
367,40.83151,-73.867615,812345.0,St Lawrence Av,6
272,40.75204,-73.92878,789385.0,36 St,M R
414,40.70482,-74.01407,4971473.0,Bowling Green,4 5
609,40.753822,-73.981964,1543.0,Bryant Pk,B D F M
609,40.754223,-73.981964,10807745.0,Bryant Pk,B D F M
636,40.692337,-73.98594,7357062.0,Jay St-MetroTech,A C F R
361,40.84681,-73.832565,761594.0,Buhre Av,6
60,40.640915,-73.9943,871151.0,Fort Hamilton Pkwy,D
363,40.839893,-73.84295,781470.0,Westchester Sq-E Tremont Av,6
404,40.74307,-73.98426,4369919.0,28 St,6
49,40.62504,-73.9608,1179180.0,Avenue J,Q
4,40.76182,-73.92551,2761954.0,Broadway,N W
94,40.68637,-73.91656,1255370.0,Halsey St,J
48,40.62927,-73.96164,655838.0,Avenue H,Q
475,40.784317,-73.94715,3889081.0,96 St,Q
606,40.747845,-73.94383,5387715.0,Court Sq,E G M 7
259,40.71444,-73.83101,5081110.0,Kew Gardens-Union Tpke,E F
75,40.61741,-73.98502,927727.0,20 Av,N
309,40.799446,-73.968376,2888321.0,103 St,1
370,40.826527,-73.886284,386540.0,Whitlock Av,6
629,40.71279,-73.951416,41767.0,Lorimer St,L
629,40.71406,-73.95027,3897634.0,Lorimer St,L
627,40.68138,-73.95685,1227926.0,Franklin Av,C S
97,40.69721,-73.93565,2647994.0,Myrtle Av,M J Z
268,40.74967,-73.89845,732011.0,65 St,M R
413,40.707558,-74.01186,3397072.0,Wall St,4 5
501,40.64375,-74.07365,1924118.0,St George,SIR
72,40.631386,-74.00535,1532547.0,Fort Hamilton Pkwy,N
630,40.699814,-73.91158,5066254.0,Myrtle-Wyckoff Avs,L M
37,40.62974,-74.02551,1201045.0,77 St,R
314,40.77344,-73.98221,4769672.0,66 St-Lincoln Center,1
626,40.67068,-73.95813,3343540.0,Franklin Av,2 3 4 5
98,40.70026,-73.941124,1619466.0,Flushing Av,M J
261,40.72169,-73.84452,5693406.0,Forest Hills-71 Av,E F M R
58,40.577423,-73.98123,3424667.0,Coney Island-Stillwell Av,D F N Q
65,40.613503,-74.00061,1304897.0,79 St,D
71,40.635063,-74.01172,2564305.0,8 Av,N
264,40.733105,-73.86923,4249922.0,Woodhaven Blvd,M R
57,40.576126,-73.97594,649183.0,W 8 St-NY Aquarium,F Q
265,40.737015,-73.87722,3912625.0,Grand Av-Newtown,M R
311,40.788643,-73.97622,3987622.0,86 St,1
602,40.735737,-73.98995,21592008.0,14 St-Union Sq,L N Q R W 4 5 6
258,40.70918,-73.82057,1065136.0,Briarwood,E F
95,40.68963,-73.92227,1459387.0,Gates Av,J Z
68,40.601875,-73.99373,1722489.0,Bay Pkwy,D
399,40.768143,-73.96387,5170951.0,68 St-Hunter College,6
613,40.76266,-73.967255,11690710.0,Lexington Av,N R W
67,40.604557,-73.99817,1120175.0,20 Av,D
273,40.748974,-73.93724,3743259.0,Queens Plaza,E M R
50,40.61762,-73.9594,1216963.0,Avenue M,Q
628,40.710373,-74.00657,17730381.0,Fulton St,A C J Z 2 3 4 5
257,40.70546,-73.81071,890674.0,Sutphin Blvd,F
397,40.77949,-73.95559,10467402.0,86 St,4 5 6
93,40.68289,-73.91045,622754.0,Chauncey St,J Z
362,40.843864,-73.83632,420110.0,Middletown Rd,6
502,40.636948,-74.07484,149712.0,Tompkinsville,SIR
316,40.761726,-73.98385,5864444.0,50 St,1
477,40.7688,-73.95843,6484278.0,72 St,Q
47,40.635082,-73.96279,2183374.0,Newkirk Plaza,B Q
260,40.71833,-73.837326,693856.0,75 Av,E F
464,40.742626,-73.95358,3656130.0,Vernon Blvd-Jackson Av,7
74,40.62067,-73.99042,1188877.0,18 Av,N
263,40.729847,-73.8616,3062071.0,63 Dr-Rego Park,M R
59,40.646294,-73.99432,1254568.0,9 Av,D
269,40.752884,-73.906006,1416977.0,Northern Blvd,M R
612,40.757553,-73.969055,11322307.0,Lexington Av-53 St,E M
398,40.77362,-73.95988,6210854.0,77 St,6
635,40.70207,-74.013664,98096.0,South Ferry,1
635,40.703087,-74.01299,6015956.0,South Ferry,1
TRAM2,40.75734,-73.95412,1392136.0,RI Tramway,TRAM2
26,40.690636,-73.98183,4349937.0,DeKalb Av,B Q R
256,40.707565,-73.80333,1604024.0,Parsons Blvd,F
266,40.742455,-73.88202,2686104.0,Elmhurst Av,M R
31,40.660397,-73.99809,821927.0,25 St,R
41,40.67705,-73.97237,2165793.0,7 Av,B Q
113,40.698666,-73.91971,856561.0,Knickerbocker Av,M
334,40.697468,-73.99309,1554296.0,Clark St,2 3
295,40.878857,-73.90483,1905218.0,231 St,1
110,40.704422,-73.903076,923592.0,Forest Av,M
147,40.84739,-73.939705,2247399.0,175 St,A
201,40.585308,-73.82056,100989.0,Beach 98 St,A S
175,40.688484,-73.985,2827090.0,Hoyt-Schermerhorn Sts,A C G
321,40.74104,-73.99787,1812859.0,18 St,1
146,40.851696,-73.937965,1759854.0,181 St,A
144,40.86549,-73.92727,1303735.0,Dyckman St,A
228,40.742878,-73.99282,5415255.0,23 St,F M
234,40.713715,-73.99017,3732395.0,East Broadway,F
287,40.70038,-73.95023,729114.0,Flushing Av,G
232,40.7234,-73.98994,4199403.0,2 Av,F
